Clé (Texte)            | Score Fréquence | Score Dictionnaire
x09                  | 0.15046           | 0                  
p29                  | 0.15034           | 0                  
w36                  | 0.15003           | 0                  
z17                  | 0.14935           | 0                  
m15                  | 0.14917           | 0                  
k18                  | 0.14911           | 0                  
p06                  | 0.14872           | 0                  
n18                  | 0.14866           | 0                  
p15                  | 0.14864           | 0                  
s78                  | 0.14739           | 0                  
w17                  | 0.14731           | 0                  
z15                  | 0.14721           | 0                  
q76                  | 0.14713           | 0                  
s39                  | 0.14696           | 0                  
p69                  | 0.14687           | 0                  
z38                  | 0.14686           | 0                  
p75                  | 0.14652           | 0                  
q79                  | 0.14644           | 0                  
z37                  | 0.14642           | 0                  
j09                  | 0.14597           | 0                  
w95                  | 0.14582           | 0                  
w85                  | 0.14582           | 0                  
o18                  | 0.14581           | 0                  
p07                  | 0.14495           | 0                  
z08                  | 0.14469           | 0                  
w16                  | 0.14462           | 0                  
m75                  | 0.14436           | 0                  
z35                  | 0.14428           | 0                  
z07                  | 0.14424           | 0                  
z19                  | 0.14407           | 0                  
s16                  | 0.14398           | 0                  
r09                  | 0.14392           | 0                  
p95                  | 0.14326           | 0                  
p85                  | 0.14326           | 0                  
w34                  | 0.14261           | 0                  
w33                  | 0.14261           | 0                  
w32                  | 0.14261           | 0                  
w31                  | 0.14261           | 0                  
w30                  | 0.14261           | 0                  
z05                  | 0.14211           | 0                  
p45                  | 0.14195           | 0                  
w39                  | 0.14180           | 0                  
m35                  | 0.14158           | 0                  
q35                  | 0.14157           | 0                  
w05                  | 0.14157           | 0                  
s96                  | 0.14118           | 0                  
s86                  | 0.14118           | 0                  
z39                  | 0.14114           | 0                  
h18                  | 0.14112           | 0                  
s77                  | 0.14095           | 0                  
w98                  | 0.14090           | 0                  
w88                  | 0.14090           | 0                  
p35                  | 0.14087           | 0                  
s75                  | 0.14087           | 0                  
z78                  | 0.14077           | 0                  
s74                  | 0.14054           | 0                  
s73                  | 0.14054           | 0                  
s72                  | 0.14054           | 0                  
s71                  | 0.14054           | 0                  
s70                  | 0.14054           | 0                  
q74                  | 0.14040           | 0                  
q73                  | 0.14040           | 0                  
q72                  | 0.14040           | 0                  
q71                  | 0.14040           | 0                  
q70                  | 0.14040           | 0                  
z77                  | 0.14032           | 0                  
a09                  | 0.14010           | 0                  
q05                  | 0.13959           | 0                  
z75                  | 0.13819           | 0                  
s26                  | 0.13814           | 0                  
m05                  | 0.13800           | 0                  
w08                  | 0.13797           | 0                  
p25                  | 0.13774           | 0                  
i18                  | 0.13770           | 0                  
x15                  | 0.13749           | 0                  
a18                  | 0.13743           | 0                  
g18                  | 0.13733           | 0                  
w97                  | 0.13718           | 0                  
w87                  | 0.13718           | 0                  
m25                  | 0.13713           | 0                  
s79                  | 0.13698           | 0                  
z97                  | 0.13690           | 0                  
z87                  | 0.13690           | 0                  
p78                  | 0.13677           | 0                  
q95                  | 0.13677           | 0                  
q85                  | 0.13677           | 0                  
t18                  | 0.13673           | 0                  
q77                  | 0.13642           | 0                  
q36                  | 0.13640           | 0                  
w19                  | 0.13640           | 0                  
z98                  | 0.13617           | 0                  
z88                  | 0.13617           | 0                  
q39                  | 0.13572           | 0                  
x35                  | 0.13538           | 0                  
v65                  | 0.13531           | 0                  
z79                  | 0.13505           | 0                  
q1W                  | 0.13498           | 0                  
k09                  | 0.13487           | 0                  
s06                  | 0.13468           | 0                  
f78                  | 0.13463           | 0                  
q06                  | 0.13442           | 0                  
w07                  | 0.13434           | 0                  
p65                  | 0.13426           | 0                  
w14                  | 0.13407           | 0                  
w13                  | 0.13407           | 0                  
w12                  | 0.13407           | 0                  
w11                  | 0.13407           | 0                  
w10                  | 0.13407           | 0                  
o09                  | 0.13373           | 0                  
v25                  | 0.13328           | 0                  
y36                  | 0.13325           | 0                  
w25                  | 0.13313           | 0                  
z28                  | 0.13307           | 0                  
v66                  | 0.13289           | 0                  
z27                  | 0.13262           | 0                  
q25                  | 0.13261           | 0                  
w65                  | 0.13248           | 0                  
z95                  | 0.13244           | 0                  
z85                  | 0.13244           | 0                  
z68                  | 0.13236           | 0                  
n09                  | 0.13236           | 0                  
p48                  | 0.13220           | 0                  
g09                  | 0.13215           | 0                  
w96                  | 0.13201           | 0                  
w86                  | 0.13201           | 0                  
z67                  | 0.13192           | 0                  
z16                  | 0.13187           | 0                  
x25                  | 0.13168           | 0                  
w06                  | 0.13165           | 0                  
l95                  | 0.13158           | 0                  
l85                  | 0.13158           | 0                  
l15                  | 0.13153           | 0                  
q55                  | 0.13151           | 0                  
d18                  | 0.13133           | 0                  
p38                  | 0.13112           | 0                  
v26                  | 0.13087           | 0                  
l75                  | 0.13086           | 0                  
q99                  | 0.13050           | 0                  
q89                  | 0.13050           | 0                  
z25                  | 0.13048           | 0                  
m16                  | 0.13023           | 0                  
v75                  | 0.13000           | 0                  
z99                  | 0.12982           | 0                  
z89                  | 0.12982           | 0                  
z65                  | 0.12978           | 0                  
w28                  | 0.12953           | 0                  
p98                  | 0.12951           | 0                  
p88                  | 0.12951           | 0                  
w7Q                  | 0.12943           | 0                  
q96                  | 0.12934           | 0                  
q86                  | 0.12934           | 0                  
l35                  | 0.12923           | 0                  
r27                  | 0.12917           | 0                  
x38                  | 0.12906           | 0                  
z36                  | 0.12894           | 0                  
w68                  | 0.12888           | 0                  
l05                  | 0.12883           | 0                  
p16                  | 0.12877           | 0                  
z14                  | 0.12869           | 0                  
z13                  | 0.12869           | 0                  
z12                  | 0.12869           | 0                  
z11                  | 0.12869           | 0                  
z10                  | 0.12869           | 0                  
u16                  | 0.12805           | 0                  
p28                  | 0.12799           | 0                  
y39                  | 0.12793           | 0                  
v15                  | 0.12790           | 0                  
v76                  | 0.12758           | 0                  
q26                  | 0.12744           | 0                  
h09                  | 0.12741           | 0                  
z29                  | 0.12734           | 0                  
v05                  | 0.12707           | 0                  
s28                  | 0.12684           | 0                  
w45                  | 0.12682           | 0                  
z06                  | 0.12677           | 0                  
q29                  | 0.12676           | 0                  
p76                  | 0.12665           | 0                  
z69                  | 0.12664           | 0                  
y06                  | 0.12659           | 0                  
q56                  | 0.12634           | 0                  
u15                  | 0.12631           | 0                  
j95                  | 0.12631           | 0                  
j85                  | 0.12631           | 0                  
s17                  | 0.12624           | 0                  
s15                  | 0.12615           | 0                  
w27                  | 0.12590           | 0                  
y38                  | 0.12588           | 0                  
k75                  | 0.12588           | 0                  
m78                  | 0.12584           | 0                  
m65                  | 0.12578           | 0                  
y26                  | 0.12571           | 0                  
q37                  | 0.12570           | 0                  
q59                  | 0.12566           | 0                  
j75                  | 0.12552           | 0                  
v16                  | 0.12548           | 0                  
m76                  | 0.12541           | 0                  
s98                  | 0.12539           | 0                  
s88                  | 0.12539           | 0                  
x28                  | 0.12536           | 0                  
f08                  | 0.12527           | 0                  
w67                  | 0.12525           | 0                  
r26                  | 0.12516           | 0                  
z34                  | 0.12505           | 0                  
z33                  | 0.12505           | 0                  
z32                  | 0.12505           | 0                  
z31                  | 0.12505           | 0                  
z30                  | 0.12505           | 0                  
p17                  | 0.12501           | 0                  
s46                  | 0.12492           | 0                  
q34                  | 0.12491           | 0                  
q33                  | 0.12491           | 0                  
q32                  | 0.12491           | 0                  
q31                  | 0.12491           | 0                  
q30                  | 0.12491           | 0                  
y16                  | 0.12476           | 0                  
m45                  | 0.12471           | 0                  
q65                  | 0.12470           | 0                  
v06                  | 0.12466           | 0                  
m98                  | 0.12464           | 0                  
m88                  | 0.12464           | 0                  
j15                  | 0.12455           | 0                  
u09                  | 0.12454           | 0                  
p68                  | 0.12452           | 0                  
i09                  | 0.12440           | 0                  
x95                  | 0.12434           | 0                  
x85                  | 0.12434           | 0                  
f19                  | 0.12403           | 0                  
m96                  | 0.12398           | 0                  
m86                  | 0.12398           | 0                  
x75                  | 0.12380           | 0                  
v68                  | 0.12373           | 0                  
q07                  | 0.12372           | 0                  
k95                  | 0.12352           | 0                  
k85                  | 0.12352           | 0                  
s08                  | 0.12338           | 0                  
q04                  | 0.12325           | 0                  
q03                  | 0.12325           | 0                  
q02                  | 0.12325           | 0                  
q01                  | 0.12325           | 0                  
q00                  | 0.12325           | 0                  
x05                  | 0.12323           | 0                  
w48                  | 0.12322           | 0                  
w26                  | 0.12321           | 0                  
f79                  | 0.12317           | 0                  
m38                  | 0.12306           | 0                  
z04                  | 0.12295           | 0                  
z03                  | 0.12295           | 0                  
z02                  | 0.12295           | 0                  
z01                  | 0.12295           | 0                  
z00                  | 0.12295           | 0                  
p77                  | 0.12289           | 0                  
v95                  | 0.12287           | 0                  
v85                  | 0.12287           | 0                  
z76                  | 0.12285           | 0                  
v69                  | 0.12281           | 0                  
s56                  | 0.12273           | 0                  
m17                  | 0.12273           | 0                  
m36                  | 0.12263           | 0                  
x17                  | 0.12261           | 0                  
l16                  | 0.12257           | 0                  
w66                  | 0.12256           | 0                  
x16                  | 0.12250           | 0                  
r28                  | 0.12244           | 0                  
s19                  | 0.12226           | 0                  
w99                  | 0.12222           | 0                  
w89                  | 0.12222           | 0                  
p14                  | 0.12218           | 0                  
p13                  | 0.12218           | 0                  
p12                  | 0.12218           | 0                  
p11                  | 0.12218           | 0                  
p10                  | 0.12218           | 0                  
p59                  | 0.12215           | 0                  
l25                  | 0.12214           | 0                  
p46                  | 0.12208           | 0                  
s3U                  | 0.12206           | 0                  
u38                  | 0.12205           | 0                  
f38                  | 0.12197           | 0                  
j35                  | 0.12192           | 0                  
l76                  | 0.12191           | 0                  
v28                  | 0.12171           | 0                  
r25                  | 0.12160           | 0                  
k15                  | 0.12109           | 0                  
p36                  | 0.12100           | 0                  
w55                  | 0.12079           | 0                  
v29                  | 0.12078           | 0                  
y76                  | 0.12052           | 0                  
x37                  | 0.12049           | 0                  
u17                  | 0.12040           | 0                  
s27                  | 0.12040           | 0                  
y29                  | 0.12040           | 0                  
x36                  | 0.12038           | 0                  
s25                  | 0.12032           | 0                  
l36                  | 0.12028           | 0                  
x45                  | 0.12003           | 0                  
l06                  | 0.11988           | 0                  
v96                  | 0.11959           | 0                  
v86                  | 0.11959           | 0                  
w47                  | 0.11959           | 0                  
q66                  | 0.11954           | 0                  
B18                  | 0.11951           | 0                  
b18                  | 0.11951           | 0                  
m08                  | 0.11948           | 0                  
y19                  | 0.11944           | 0                  
y08                  | 0.11922           | 0                  
u78                  | 0.11921           | 0                  
m06                  | 0.11905           | 0                  
s14                  | 0.11901           | 0                  
s13                  | 0.11901           | 0                  
s12                  | 0.11901           | 0                  
s11                  | 0.11901           | 0                  
s10                  | 0.11901           | 0                  
y37                  | 0.11899           | 0                  
u36                  | 0.11898           | 0                  
p74                  | 0.11897           | 0                  
p73                  | 0.11897           | 0                  
p72                  | 0.11897           | 0                  
p71                  | 0.11897           | 0                  
p70                  | 0.11897           | 0                  
n96                  | 0.11895           | 0                  
n86                  | 0.11895           | 0                  
q69                  | 0.11886           | 0                  
l96                  | 0.11883           | 0                  
l86                  | 0.11883           | 0                  
v35                  | 0.11874           | 0                  
n16                  | 0.11866           | 0                  
s66                  | 0.11863           | 0                  
m28                  | 0.11862           | 0                  
k35                  | 0.11857           | 0                  
v78                  | 0.11842           | 0                  
y28                  | 0.11835           | 0                  
p47                  | 0.11832           | 0                  
m14                  | 0.11830           | 0                  
m13                  | 0.11830           | 0                  
m12                  | 0.11830           | 0                  
m11                  | 0.11830           | 0                  
m10                  | 0.11830           | 0                  
t06                  | 0.11828           | 0                  
m26                  | 0.11819           | 0                  
l78                  | 0.11814           | 0                  
m19                  | 0.11813           | 0                  
v67                  | 0.11797           | 0                  
z48                  | 0.11793           | 0                  
m77                  | 0.11791           | 0                  
t46                  | 0.11788           | 0                  
p26                  | 0.11787           | 0                  
n76                  | 0.11777           | 0                  
s97                  | 0.11775           | 0                  
s87                  | 0.11775           | 0                  
f98                  | 0.11771           | 0                  
f88                  | 0.11771           | 0                  
w3Q                  | 0.11763           | 0                  
p44                  | 0.11761           | 0                  
p43                  | 0.11761           | 0                  
p42                  | 0.11761           | 0                  
p41                  | 0.11761           | 0                  
p40                  | 0.11761           | 0                  
q54                  | 0.11755           | 0                  
q53                  | 0.11755           | 0                  
q52                  | 0.11755           | 0                  
q51                  | 0.11755           | 0                  
q50                  | 0.11755           | 0                  
r29                  | 0.11754           | 0                  
j05                  | 0.11752           | 0                  
v79                  | 0.11750           | 0                  
x78                  | 0.11748           | 0                  
z47                  | 0.11748           | 0                  
y35                  | 0.11735           | 0                  
u35                  | 0.11724           | 0                  
p37                  | 0.11724           | 0                  
p0V                  | 0.11722           | 0                  
w58                  | 0.11719           | 0                  
r24                  | 0.11695           | 0                  
r23                  | 0.11695           | 0                  
r22                  | 0.11695           | 0                  
r21                  | 0.11695           | 0                  
r20                  | 0.11695           | 0                  
s07                  | 0.11694           | 0                  
x08                  | 0.11691           | 0                  
w46                  | 0.11690           | 0                  
s05                  | 0.11686           | 0                  
w04                  | 0.11683           | 0                  
w03                  | 0.11683           | 0                  
w02                  | 0.11683           | 0                  
w01                  | 0.11683           | 0                  
w00                  | 0.11683           | 0                  
x27                  | 0.11680           | 0                  
q27                  | 0.11673           | 0                  
x26                  | 0.11668           | 0                  
l38                  | 0.11651           | 0                  
u58                  | 0.11646           | 0                  
l17                  | 0.11644           | 0                  
s29                  | 0.11642           | 0                  
v36                  | 0.11632           | 0                  
e18                  | 0.11625           | 0                  
j25                  | 0.11625           | 0                  
h96                  | 0.11618           | 0                  
h86                  | 0.11618           | 0                  
u76                  | 0.11614           | 0                  
s95                  | 0.11613           | 0                  
s85                  | 0.11613           | 0                  
l08                  | 0.11611           | 0                  
m55                  | 0.11611           | 0                  
h76                  | 0.11608           | 0                  
v27                  | 0.11595           | 0                  
n36                  | 0.11583           | 0                  
l77                  | 0.11578           | 0                  
l19                  | 0.11578           | 0                  
v64                  | 0.11572           | 0                  
v63                  | 0.11572           | 0                  
v62                  | 0.11572           | 0                  
v61                  | 0.11572           | 0                  
v60                  | 0.11572           | 0                  
x98                  | 0.11572           | 0                  
x88                  | 0.11572           | 0                  
e09                  | 0.11570           | 0                  
f15                  | 0.11564           | 0                  
t49                  | 0.11563           | 0                  
q57                  | 0.11563           | 0                  
q97                  | 0.11558           | 0                  
q87                  | 0.11558           | 0                  
v08                  | 0.11550           | 0                  
z74                  | 0.11545           | 0                  
z73                  | 0.11545           | 0                  
z72                  | 0.11545           | 0                  
z71                  | 0.11545           | 0                  
z70                  | 0.11545           | 0                  
f16                  | 0.11540           | 0                  
v19                  | 0.11540           | 0                  
z45                  | 0.11535           | 0                  
y79                  | 0.11521           | 0                  
mB5                  | 0.11520           | 0                  
x19                  | 0.11519           | 0                  
wX5                  | 0.11515           | 0                  
z26                  | 0.11515           | 0                  
m37                  | 0.11513           | 0                  
l79                  | 0.11512           | 0                  
j76                  | 0.11511           | 0                  
p96                  | 0.11504           | 0                  
p86                  | 0.11504           | 0                  
w29                  | 0.11499           | 0                  
h16                  | 0.11491           | 0                  
m97                  | 0.11490           | 0                  
m87                  | 0.11490           | 0                  
y96                  | 0.11483           | 0                  
y86                  | 0.11483           | 0                  
f75                  | 0.11478           | 0                  
q45                  | 0.11474           | 0                  
f76                  | 0.11454           | 0                  
z66                  | 0.11444           | 0                  
u75                  | 0.11440           | 0                  
p66                  | 0.11439           | 0                  
k05                  | 0.11437           | 0                  
w69                  | 0.11433           | 0                  
n26                  | 0.11429           | 0                  
l37                  | 0.11415           | 0                  
j16                  | 0.11414           | 0                  
p27                  | 0.11410           | 0                  
u98                  | 0.11402           | 0                  
u88                  | 0.11402           | 0                  
t07                  | 0.11379           | 0                  
l07                  | 0.11375           | 0                  
s7U                  | 0.11373           | 0                  
x48                  | 0.11371           | 0                  
s48                  | 0.11362           | 0                  
w57                  | 0.11356           | 0                  
l98                  | 0.11351           | 0                  
l88                  | 0.11351           | 0                  
l39                  | 0.11349           | 0                  
t47                  | 0.11340           | 0                  
u56                  | 0.11339           | 0                  
m79                  | 0.11332           | 0                  
l26                  | 0.11318           | 0                  
k25                  | 0.11316           | 0                  
y78                  | 0.11316           | 0                  
x39                  | 0.11308           | 0                  
q24                  | 0.11298           | 0                  
q23                  | 0.11298           | 0                  
q22                  | 0.11298           | 0                  
q21                  | 0.11298           | 0                  
q20                  | 0.11298           | 0                  
v77                  | 0.11266           | 0                  
s24                  | 0.11252           | 0                  
s23                  | 0.11252           | 0                  
s22                  | 0.11252           | 0                  
s21                  | 0.11252           | 0                  
s20                  | 0.11252           | 0                  
h36                  | 0.11249           | 0                  
s99                  | 0.11247           | 0                  
s89                  | 0.11247           | 0                  
y07                  | 0.11232           | 0                  
z49                  | 0.11221           | 0                  
qX8                  | 0.11194           | 0                  
w7U                  | 0.11194           | 0                  
u28                  | 0.11179           | 0                  
l97                  | 0.11170           | 0                  
l87                  | 0.11170           | 0                  
u55                  | 0.11165           | 0                  
j96                  | 0.11163           | 0                  
j86                  | 0.11163           | 0                  
l65                  | 0.11155           | 0                  
m07                  | 0.11155           | 0                  
j36                  | 0.11150           | 0                  
y27                  | 0.11145           | 0                  
s58                  | 0.11143           | 0                  
w7W                  | 0.11138           | 0                  
u37                  | 0.11133           | 0                  
p34                  | 0.11131           | 0                  
p33                  | 0.11131           | 0                  
p32                  | 0.11131           | 0                  
p31                  | 0.11131           | 0                  
p30                  | 0.11131           | 0                  
p97                  | 0.11127           | 0                  
p87                  | 0.11127           | 0                  
w1W                  | 0.11126           | 0                  
m74                  | 0.11116           | 0                  
m73                  | 0.11116           | 0                  
m72                  | 0.11116           | 0                  
m71                  | 0.11116           | 0                  
m70                  | 0.11116           | 0                  
wX8                  | 0.11115           | 0                  
r37                  | 0.11112           | 0                  
l99                  | 0.11108           | 0                  
l89                  | 0.11108           | 0                  
j65                  | 0.11105           | 0                  
z96                  | 0.11105           | 0                  
z86                  | 0.11105           | 0                  
w1Q                  | 0.11103           | 0                  
n06                  | 0.11098           | 0                  
q7Q                  | 0.11097           | 0                  
o37                  | 0.11095           | 0                  
w56                  | 0.11087           | 0                  
q7W                  | 0.11087           | 0                  
q1Q                  | 0.11085           | 0                  
m27                  | 0.11069           | 0                  
y05                  | 0.11068           | 0                  
p67                  | 0.11063           | 0                  
f14                  | 0.11059           | 0                  
f13                  | 0.11059           | 0                  
f12                  | 0.11059           | 0                  
f11                  | 0.11059           | 0                  
f10                  | 0.11059           | 0                  
v17                  | 0.11056           | 0                  
m39                  | 0.11054           | 0                  
f39                  | 0.11052           | 0                  
v24                  | 0.11052           | 0                  
v23                  | 0.11052           | 0                  
v22                  | 0.11052           | 0                  
v21                  | 0.11052           | 0                  
v20                  | 0.11052           | 0                  
y17                  | 0.11049           | 0                  
l45                  | 0.11044           | 0                  
s7Q                  | 0.11038           | 0                  
f28                  | 0.11037           | 0                  
y34                  | 0.11010           | 0                  
y33                  | 0.11010           | 0                  
y32                  | 0.11010           | 0                  
y31                  | 0.11010           | 0                  
y30                  | 0.11010           | 0                  
t26                  | 0.11002           | 0                  
t76                  | 0.11001           | 0                  
wX7                  | 0.10995           | 0                  
t05                  | 0.10989           | 0                  
y25                  | 0.10981           | 0                  
u96                  | 0.10980           | 0                  
u86                  | 0.10980           | 0                  
s3Q                  | 0.10976           | 0                  
v07                  | 0.10974           | 0                  
t36                  | 0.10969           | 0                  
q46                  | 0.10957           | 0                  
f68                  | 0.10956           | 0                  
p55                  | 0.10955           | 0                  
t45                  | 0.10950           | 0                  
v45                  | 0.10942           | 0                  
l28                  | 0.10941           | 0                  
x29                  | 0.10938           | 0                  
f17                  | 0.10935           | 0                  
f74                  | 0.10934           | 0                  
f73                  | 0.10934           | 0                  
f72                  | 0.10934           | 0                  
f71                  | 0.10934           | 0                  
f70                  | 0.10934           | 0                  
r17                  | 0.10921           | 0                  
y99                  | 0.10915           | 0                  
y89                  | 0.10915           | 0                  
x77                  | 0.10892           | 0                  
qT8                  | 0.10892           | 0                  
w3U                  | 0.10891           | 0                  
o77                  | 0.10890           | 0                  
q49                  | 0.10889           | 0                  
y15                  | 0.10885           | 0                  
i76                  | 0.10884           | 0                  
q67                  | 0.10883           | 0                  
x76                  | 0.10881           | 0                  
o17                  | 0.10873           | 0                  
m99                  | 0.10873           | 0                  
m89                  | 0.10873           | 0                  
u26                  | 0.10872           | 0                  
i16                  | 0.10869           | 0                  
w49                  | 0.10868           | 0                  
x65                  | 0.10864           | 0                  
x14                  | 0.10850           | 0                  
x13                  | 0.10850           | 0                  
x12                  | 0.10850           | 0                  
x11                  | 0.10850           | 0                  
x10                  | 0.10850           | 0                  
f77                  | 0.10849           | 0                  
u77                  | 0.10849           | 0                  
o97                  | 0.10846           | 0                  
o87                  | 0.10846           | 0                  
h06                  | 0.10845           | 0                  
x07                  | 0.10835           | 0                  
x06                  | 0.10824           | 0                  
p24                  | 0.10819           | 0                  
p23                  | 0.10819           | 0                  
p22                  | 0.10819           | 0                  
p21                  | 0.10819           | 0                  
p20                  | 0.10819           | 0                  
B09                  | 0.10795           | 0                  
b09                  | 0.10795           | 0                  
i96                  | 0.10784           | 0                  
i86                  | 0.10784           | 0                  
m34                  | 0.10778           | 0                  
m33                  | 0.10778           | 0                  
m32                  | 0.10778           | 0                  
m31                  | 0.10778           | 0                  
m30                  | 0.10778           | 0                  
t29                  | 0.10777           | 0                  
z64                  | 0.10777           | 0                  
z63                  | 0.10777           | 0                  
z62                  | 0.10777           | 0                  
